icao,airline,callsign
ATT,"Attawasol Airlines","ATTAWASOL AIR"
XME,"Australian airExpress","AUS-CARGO"
AUZ,"Australian Airlines","AUSTRALIAN"
VAI,"Avalair","AIR AVALAIR"
VXP,"Avelo Airlines","AVELO"
AVE,"Avensa","AVENSA"
VRT,"Averitt Air Charter","AVERITT"
VSC,"AVESCA","AVESCA"
AJF,"Avia Consult Flugbetriebs","AVIACONSULT"
VTT,"Avia Trans Air Transport","VIATRANSPORT"
CHP,"Aviacsa","AVIACSA"
AVA,"Avianca","AVIANCA"
MCJ,"Avianca Argentina","JETMAC"
ONE,"Avianca Brasil","OCEAN AIR"
GLG,"Avianca Ecuador","GALAPAGOS"
XAV,"Aviaprom Enterprises","AVIAPROM"
AVB,"Aviation Beauport","BEAUPAIR"
AVQ,"Aviation Services, Inc.","AQUILINE"
ACJ,"Avicon","AVICHARTER"
VSR,"Aviostart AS","AVIOSTART"
VLI,"Avolar Aerolíneas","AEROVOLAR"
VSA,"Avstar Aviation","STARBIRD"
AZU,"Azul Linhas Aéreas Brasileiras","Azul"
BBF,"B-Air Charter","SPEEDCHARTER"
CFE,"BA CityFlyer","FLYER"
BRT,"BA Connect","BRITISH"
EFW,"BA Euroflyer","GRIFFIN"
BAC,"BAC Leasing Limited","&nbsp;"
BCF,"BACH Flugbetriebsges","BACH"
BOB,"Backbone A/S","BACKBONE"
BDR,"Badr Airlines","BADR AIR"
BAE,"BAE Systems","FELIX"
BHS,"Bahamasair","BAHAMAS"
BAB,"Bahrain Air BSC (Closed)","AWAL"
BFW,"Bahrain Defence Force","SUMMAN"
BXA,"Bahrain Executive Air Services","BEXAIR"
BJA,"Baja Air","BAJA AIR"
BAJ,"Baker Aviation","RODEO"
OGJ,"Bakoji Airlines Services","BAKO AIR"
BTC,"BAL Bashkirian Airlines","BASHKIRIAN"
BEF,"Balear Express","BALEAR EXPRESS"
BLN,"Bali International Air Service","BIAR"
BAA,"Balkan Agro Aviation","BALKAN AGRO"
LAZ,"Balkan Bulgarian Airlines","BALKAN"
BHI,"Balkh Airlines","SHARIF"
PNT,"Balmoral Central Contracts","PORTNET"
BTL,"Baltia Air Lines","BALTIA"
BLL,"Baltic Airlines","BALTIC AIRLINES"
BLT,"Baltic Aviation","BALTAIR"
BJC,"Baltic Jet Aircompany","BALTIC JET"
BTH,"Baltijas Helicopters","BALTIJAS HELICOPTERS"
CPJ,"Baltimore Air Transport","CORPJET"
EAH,"Baltimore Airways","EASTERN"
BTK,"Baltyka","BALTYKA"
BAV,"Bamboo Airways","BAMBOO"
AJC,"Bar Harbor Airlines","BAR HARBOR"
AUJ,"Business Flight Salzburg","AUSTROJET"
CWR,"Beijing City International Jet","CITY WORLD"
BJV,"Beijing Vistajet Aviation","BEIJING VISTA"
BHK,"Blu Halkin","BLUEHAKIN"
BXJ,"Brixtel Group","BRIXTEL JET"
BYG,"Bygone Aviation","BYGONE"
BBJ,"Blue Air Lines","BLUE KOREA"
BCJ,"Blue Jet Charters","BLUE BOY"
BNA,"Bun Air Corporation","BUN AIR"
BTN,"Bhutan Airlines","BHUTAN AIR"
BAF,"Belgian Air Force","BELGIAN AIRFORCE"
BAK,"Blackhawk Airways","BLACKHAWK"
BAL,"Belle Air Europe","BELLEAIR EUROPE"
BAL,"Britannia Airways","BRITANNIA"
BAM,"Business Air Services","BUSINESS AIR"
BAN,"British Antarctic Survey","PENGUIN"
BAR,"Bradly Air (Charter) Services","BRADLEY"
BAU,"Bissau Airlines","AIR BISSAU"
BAV,"Bay Aviation Ltd","BAY AIR"
BAW,"British Airways","SPEEDBIRD"
BAX,"Best Aero Handling Ltd",""
BAY,"Bravo Airways","BRAVOAVIANCA"
BBA,"Bannert Air","BANAIR"
BBC,"Biman Bangladesh Airlines","BANGLADESH"
BBD,"Bluebird Nordic","BLUE CARGO"
BBS,"Beibars CJSC","BEIBARS"
BBV,"Bravo Airlines","BRAVO EUROPE"
BBW,"BB Airways","BEEBEE AIRWAYS"
BBZ,"Bluebird Aviation","COBRA"
BCI,"Blue Islands","BLUE ISLAND"
BCL,"British Caribbean Airways",""
BCR,"British Charter","BACKER"
BCT,"BCT Aviation","BOBCAT"
BCV,"Business Aviation Center","BUSINESS AVIATION"
BCY,"CityJet","CITY JET"
BDA,"Blue Dart Aviation","BLUE DART"
BON,"B&H Airlines","Air Bosna"
BDF,"Bissau Discovery Flying Club","BISSAU DISCOVERY"
AYB,"Belgian Army","BELGIAN ARMY"
BEA,"Best Aviation Ltd","BEST AIR"
BED,"Belgorod Air Enterprise","BELOGORYE"
BEH,"Bel Air Helicopters","BLUECOPTER"
BEK,"Berkut Air","BERKUT"
BET,"BETA - Brazilian Express Transportes Aéreos","BETA CARGO"
BFC,"Basler Flight Service","BASLER"
BFG,"Bear Flight","BEARFLIGHT"
BFL,"Buffalo Airways","BUFFALO"
BFO,"Bombardier","BOMBARDIER"
BFR,"Burkina Airlines","BURKLINES"
BFS,"Business Flight Sweden","BUSINESS FLIGHT"
BGH,"BH Air","BALKAN HOLIDAYS"
BGI,"British Gulf International","BRITISH GULF"
BGK,"British Gulf International-Fez","GULF INTER"
BGL,"Benin Golf Air","BENIN GOLF"
BGM,"Bugulma Air Enterprise","BUGAVIA"
BGR,"Budget Air Bangladesh","BUDGET AIR"
BGT,"Bergen Air Transport","BERGEN AIR"
BHA,"Buddha Air","BUDDHA AIR"
BHL,"Bristow Helicopters","BRISTOW"
BHN,"Bristow Helicopters Nigeria","BRISTOW HELICOPTERS"
BHO,"Bhoja Airlines","BHOJA"
BHP,"Belair Airlines","BELAIR"
BHR,"Bighorn Airways","BIGHORN AIR"
BHT,"Bright Air","BRIGHTAIR"
BHY,"Bosphorus European Airways","BOSPHORUS"
BID,"Binair","BINAIR"
BIG,"Big Island Air","BIG ISLE"
BIH,"British International Helicopters","BRINTEL"
BIL,"Billund Air Center","BILAIR"
BIN,"Boise Interagency Fire Center","BISON-AIR"
BIO,"Bioflight A/S","BIOFLIGHT"
BIR,"Bird Leasing","BIRD AIR"
BIZ,"Bizjet Ltd","BIZZ"
BJS,"Business Jet Solutions","SOLUTION"
BKA,"Bankair","BANKAIR"
BKF,"BF-Lento OY","BAKERFLIGHT"
BKK,"Blink","BLINKAIR"
BKJ,"Barken International","BARKEN JET"
BKP,"Bangkok Airways","BANGKOK AIR"
BKV,"Bukovyna","BUKOVYNA"
BLB,"Blue Bird Aviation","BLUEBIRD SUDAN"
BLC,"Bellesavia","BELLESAVIA"
BLE,"Blue Line","BLUE BERRY"
BLF,"Blue1","BLUEFIN"
BLG,"Belgavia","BELGAVIA"
BLH,"Blue Horizon Travel Club","BLUE HORIZON"
BLJ,"Blue Jet","BLUEWAY"
BLM,"Blue Sky Airlines","BLUE ARMENIA"
BLS,"Bearskin Lake Air Service","BEARSKIN"
BLV,"Bellview Airlines","BELLVIEW AIRLINES"
BMA,"BMI","MIDLAND"
BMA,"BermudAir","GOSLING"
BMR,"BMI Regional","MIDLAND"
BMD,"British Medical Charter","BRITISH MEDICAL"
BME,"Briggs Marine Environmental Services","BRIGGS"
BMH,"Bristow Masayu Helicopters","MASAYU"
BMI,"Bmibaby","BABY"
BMJ,"Bemidji Airlines","BEMIDJI"
BML,"Bismillah Airlines","BISMILLAH"
BMN,"Bowman Aviation","BOWMAN"
BMW,"BMW","BMW-FLIGHT"
BMX,"Banco de Mexico","BANXICO"
BND,"Bond Offshore Helicopters","BOND"
BNE,"Benina Air","BENINA AIR"
BNF,"Braniff International Airways","Braniff"
BNG,"BN Group Limited","VECTIS"
BNJ,"Air Service Liège (ASL)","JET BELGIUM"
BNL,"Blue Nile Ethiopia Trading","NILE TRADING"
BNR,"Bonair Aviation","BONAIR"
BNS,"Bancstar - Valley National Corporation","BANCSTAR"
BNT,"Bentiu Air Transport","BENTIU AIR"
BNV,"Benane Aviation Corporation","BENANE"
BNW,"British North West Airlines","BRITISH NORTH"
BOD,"Bond Air Services","UGABOND"
BOA,"Boniair","KUMANOVO"
BNZ,"Bonza","BONZA"
BOE,"Boeing","BOEING"
BOF,"Bordaire","BORDAIR"
BOO,"Bookajet Limited","BOOKAJET"
BOU,"Bouraq Indonesia Airlines","BOURAQ"
BPA,"Blue Panorama Airlines","BLUE PANORAMA"
BPK,"Berkhut ZK","VENERA"
BPO,"Bundespolizei-Fliegertruppe","PIROL"
BPS,"Budapest Aircraft Services/Manx2","BASE"
BPT,"Bonus Aviation","BONUS"
BPX,"British Petroleum Exploration",""
BRB,"BRA-Transportes Aéreos","BRA-TRANSPAEREOS"
BRD,"Brock Air Services","BROCK AIR"
BRE,"Breeze Ltd","AVIABREEZE"
BRG,"Bering Air","BERING AIR"
BRK,"Briansk State Air Enterprise","BRIANSK-AVIA"
BRN,"Branson Airlines","BRANSON"
BRO,"BASE Regional Airlines","COASTRIDER"
BRS,"Brazilian Air Force","BRAZILIAN AIR FORCE"
BRT,"British Regional Airlines","BRITISH"
BRU,"Belavia Belarusian Airlines","BELARUS AVIA"
BRV,"Bravo Air Congo","BRAVO"
BRW,"Bright Aviation Services","BRIGHT SERVICES"
BRX,"Buffalo Express Airlines","BUFF EXPRESS"
BRY,"Burundayavia","BURAIR"
BSC,"Bistair - Fez","BIG SHOT"
BSD,"Blue Star Airlines","AIRLINES STAR"
BSI,"Brasair Transportes Aéreos","BRASAIR"
BSJ,"Blue Swan Aviation","BLUE SWAN"
BSM,"Blue Sky Aviation",""
BSS,"Bissau Aero Transporte","BISSAU AIRSYSTEM"
BST,"Best Air","TUNCA"
BSW,"Blue Sky Airways","SKY BLUE"
BSY,"Big Sky Airlines","BIG SKY"
BTI,"Air Baltic","Air Baltic"
BTK,"Batik Air","BATIK"
BTQ,"Boutique Air","BOUTIQUE"
BTR,"Botir-Avia","BOTIR-AVIA"
BTT,"BT-Slavuta","BEETEE-SLAVUTA"
BTV,"Batavia Air","BATAVIA"
BTZ,"Bristow U.S. LLC","BRISTOW"
BUC,"European Air Charter","EUROCHARTER"
BUL,"Blue Airlines","BLUE AIRLINES"
BUN,"Buryat Airlines Aircompany","BURAL"
BUZ,"Buzz Stansted","BUZZ"
BVA,"Buffalo Airways","BUFFALO AIR"
BVC,"Bulgarian Aeronautical Centre","BULGARIAN WINGS"
BVN,"Baron Aviation Services","SHOW-ME"
BVT,"Berjaya Air","BERJAYA"
BVU,"Bellview Airlines, Sierra Leone","BELLVIEW AIRLINES"
BWD,"Bluewest Helicopters-Greenland","BLUEWEST"
BWG,"Blue Wings","BLUE WINGS"
BWI,"Blue Wing Airlines","BLUE TAIL"
BWL,"British World Airlines","BRITWORLD"
BXH,"Bar XH Air","PALLISER"
BXI,"Brussels Airlines","XENIA"
BYA,"Berry Aviation","BERRY"
BYC,"Cambodia Bayon Airlines","Bayon Air"
BYF,"San Carlos Flight Center","BAY FLIGHT"
BYL,"Bylina Joint-Stock Company","BYLINA"
BYR,"Berytos Airlines",""
BYE,"Bayu Indonesia Air","BAYU"
BZA,"Bizair Fluggesellschaft","BERLIN BEAR"
BZH,"Brit Air","BRITAIR"
BZZ,"Butane Buzzard Aviation Corporation","BUZZARD"
CBJ,"Beijing Capital Airlines","CAPITAL JET"
CKM,"BKS Air (Rivaflecha)","COSMOS"
CLF,"Bristol Flying Centre","CLIFTON"
CLN,"Barnes Olsen Aeroleasing","SEELINE"
CXS,"Boston-Maine Airways","CLIPPER CONNECTION"
BEL,"Brussels Airlines","BEE-LINE"
EBA,"Bond Aviation","BOND AVIATION"
EXB,"Brazilian Army Aviation","BRAZILIAN ARMY"
EXP,"Business Express Delivery","EXPRESS AIR"
FOS,"Bel Limited",""
GAA,"Business Express","BIZEX"
HAW,"Bangkok Aviation Center","THAI HAWK"
HAX,"Benair","SCOOP"
IBB,"Binter Canarias","BINTER"
IRJ,"Bonyad Airlines","BONYAD AIR"
IVR,"Burundaiavia","RERUN"
BLA,"Blue Air","BLUE AIR"
LAJ,"British Mediterranean Airways","BEE MED"
LBY,"Belle Air","ALBAN-BELLE"
LED,"Blom Geomatics","SWEEPER"
LTL,"Benin Littoral Airways","LITTORAL"
LXJ,"Bombardier Business Jet Solutions","FLEXJET"
LZB,"Bulgaria Air","FLYING BULGARIA"
MBR,"Brazilian Navy Aviation","BRAZILIAN NAVY"
NKF,"Barents AirLink","NORDFLIGHT"
NYB,"Belgian Navy","BELGIAN NAVY"
OTA,"Business Aviators","OUTLAW"
OUF,"Beijing Eofa International Jet","ELEMENT"
PEB,"Benders Air","PALEMA"
POI,"BGB Air","BOJBAN"
PPS,"Butte Aviation","PIPESTONE"
PVO,"Bearing Supplies Limited","PROVOST"
RHD,"Bond Air Services","RED HEAD"
RLR,"Business Airfreight","RATTLER"
RRS,"Boscombe Down DERA (Formation)","BLACKBOX"
SCJ,"Business Jet Sweden","SCANJET"
SHT,"British Airways Shuttle","SHUTTLE"
SKH,"British Sky Broadcasting","SKYNEWS"
TBL,"Bell Aliant Regional Communications","TELCO"
TXB,"Bell Helicopter Textron","TEXTRON"
UKA,"Buzzaway Limited","UKAY"
VLX,"Biz Jet Charter","AVOLAR"
VOL,"Blue Chip Jet","BLUE SPEED"
WFD,"BAE Systems","AVRO"
WTN,"BAE Systems","TARNISH"
XBO,"Baseops International",""
XDA,"Bureau Veritas",""
XMS,"British Airways Santa","SANTA"
ZBA,"Boskovic Air Charters Limited","BOSKY"
JMP,"Businesswings","JUMP RUN"
BOV,"Boliviana de Aviación","BOLIVIANA"
BRJ,"Borajet","BORA JET"
MXY,"Breeze Airways","MOXY"
CJL,"Canada Jetlines","JETBUS"
LHX,"City Airlines","CITYAIR"
SRJ,"C Air Jet Airlines","SYRJET"
TIP,"C and M Aviation","TRANSPAC"
ORO,"C N Air","CAPRI"
RWG,"C&M Airways","RED WING"
RMU,"C.S.P., Societe","AIR-MAUR"
CJZ,"Caliber Jet","CALIBER JET"
DYN,"California Pacific Airlines","AERODYNAMICS"
CRC,"Camair-Co","CAMAIRCO"
QAI,"Conquest Air","CHICKPEA"
CBH,"Corporate Eagle Management Services","CLUB HOUSE"
CRF,"Croix Rouge Francais","CROIX ROUGE"
CAA,"Civil Aviation Authority of the Czech Republic","INSPECTOR"
BKR,"Civil Air Patrol South Carolina Wing","BOX KAR"
BFN,"Compagnie Nationale Naganagani",""
AWX,"Civil Aviation Authority Directorate of Airspace Policy","ALLWEATHER"
BBN,"Civil Aviation Authority Airworthiness Division","BRABAZON"
ATQ,"CHC Helicopters Nigeria","COLIBRI"
APL,"Corporativo Aereo Principal","AEREO PRINCIPAL"
AIO,"Chief of Staff, United States Air Force","AIR CHIEF"
AID,"Christian Konig - Century Airbirds","CENTURY AIRBIRD"
SMW,"Carpatair Flight Service","SMART WINGS"
CCL,"Cambodia Airlines","ANGKOR WAT"
KME,"Cambodia Airways","GIANT IBIS"
CCB,"Caricom Airways","DOLPHIN"
CYH,"China Southern Airlines Henan","YUHAO"
CFB,"Chongqing Forebase General Aviation","FOREBASE"
XCA,"Colt Transportes Aereos","COLT"
GCY,"CHC Global Operations International","HELIBIRD"
AUN,"Common Sky","COMMON SKY"
CBI,"Cabi","CABI"
CPI,"Compagnia Aeronautica Italiana","AIRCAI"
ICL,"Challenge Airlines IL","CAL"
CMR,"CAM Air Management","CAMEO"
CTZ,"CATA Línea Aérea","CATA"
CCF,"CCF Manager Airline","TOMCAT"
CED,"CEDTA (Compañía Ecuatoriana De Transportes Aéreos)","CEDTA"
HBI,"CHC Denmark","HELIBIRD"
HEM,"CHC Helicopter","HEMS"
SCH,"CHC Airways","SCHREINER"
HKS,"CHC Helikopter Service","HELIBUS"
VCI,"CI-Tours","CI-TOURS"
CKC,"CKC Services",""
CMZ,"CM Stair","CEE-EM STAIRS"
CNT,"Centre national d'études des télécommunications - C.N.E.T.","KNET"
OAP,"COAPA AIR","COAPA"
PDR,"COMAV","SPEEDSTER"
CRH,"CRI Helicopters Mexico","HELI-MEX"
IRO,"CSA Air","IRON AIR"
CSE,"CSE Aviation","OXFORD"
CTQ,"CTK Network Aviation","CITYLINK"
CBR,"Cabair College of Air Training","CABAIR"
CVE,"Cabo Verde Express","KABEX"
CWD,"Caernarfon Airworld","AMBASSADOR"
CXE,"Caicos Express Airways","CAICOS"
CCE,"Cairo Air Transport Company",""
CGC,"Cal Gulf Aviation","CAL-GULF"
REZ,"Cal-West Aviation","CAL AIR"
CSL,"California Air Shuttle","CALIFORNIA SHUTTLE"
CMV,"Calima Aviación","CALIMA"
CAV,"Calm Air","CALM AIR"
CAM,"Camai Air","AIR CAMAI"
KHV,"Cambodia Angkor Air","ANGKOR AIR"
UYC,"Cameroon Airlines","CAM-AIR"
HSO,"Campania Helicopteros De Transporte","HELIASTURIAS"
CJA,"CanJet","CANJET"
PIL,"Canada Jet Charters","PINNACLE"
CDN,"Canadian Airlines","CANADIAN"
CTG,"Canadian Coast Guard","CANADIAN COAST GUARD"
HIA,"Canadian Eagle Aviation","HAIDA"
CFC,"Canadian Forces","CANFORCE"
BZD,"Canadian Global Air Ambulance","BLIZZARD"
CDN,"Canadian Helicopters","CANADIAN"
TKR,"Canadian Interagency Forest Fire Centre","TANKER"
XNC,"Canadian National Telecommunications",""
AKT,"Canadian North","ARCTIC"
CPC,"Canadian Pacific Airlines","EMPRESS"
CDR,"Canadian Regional Airlines","CANADIAN REGIONAL"
CWH,"Canadian Warplane Heritage Museum","WARPLANE HERITAGE"
CWA,"Canadian Western Airlines","CANADIAN WESTERN"
CWW,"Canair","CANAIR"
CUI,"Cancun Air","CAN-AIR"
KAP,"Cape Air","CAIR"
CTO,"Cape Air Transport",""
SEM,"Cape Central Airways","SEMO"
CMY,"Cape Smythe Air","CAPE SMYTHE AIR"
CPX,"Capital Air Service","CAPAIR"
CPD,"Capital Airlines","CAPITAL DELTA"
NCP,"Capital Airlines Limited","CAPITAL SHUTTLE"
CCI,"Capital Cargo International Airlines","CAPPY"
CCQ,"Capital City Air Carriers","CAP CITY"
EGL,"Capital Trading Aviation","PRESTIGE"
CEX,"Capitol Air Express","CAPITOL EXPRESS"
CWZ,"Capitol Wings Airline","CAPWINGS"
VAN,"Caravan Air","CAMEL"
CWN,"Cardiff Wales Flying Club","CAMBRIAN"
FVA,"Cardinal/Air Virginia","AIR VIRGINIA"
GOL,"Cardolaar","CARGOLAAR"
CDI,"Cards Air Services","CARDS"
CFH,"CareFlight","CARE FLIGHT"
CDM,"Carga Aérea Dominicana","CARGA AEREA"
EST,"Carga Express Internacional","CARGAINTER"
GGC,"Cargo 360","LONG-HAUL"
MCX,"Cargo Express","MAURICARGO"
CRV,"Cargo Ivoire","CARGOIV"
CLM,"Cargo Link (Caribbean)","CARGO LINK"
CLU,"Cargo Logic Air","FIREBIRD"
CTW,"Cargo Three","THIRD CARGO"
CRG,"Cargoitalia","WHITE PELICAN"
CJT,"Cargojet Airways","CARGOJET"
CLX,"Cargolux","CARGOLUX"
ICV,"Cargolux Italia","CARGO MED"
CGM,"Cargoman","HOTEL CHARLIE"
DEL,"Carib Aviation","RED TAIL"
BCB,"Carib Express","WAVEBIRD"
PWD,"CARIBAIR","CARIBAIR"
DCC,"Caribbean Air Cargo","CARICARGO"
CLT,"Caribbean Air Transport","CARIBBEAN"
CLT,"Club Aerocelta de Vuelo Con Motor",""
BWA,"Caribbean Airlines","CARIBBEAN AIRLINES"
IQQ,"Caribbean Airways","CARIBJET"
CSX,"Choice Airways","CHOICE AIR"
TLC,"Caribbean Express","CARIB-X"
GFI,"Caribbean Star Airlines","CARIB STAR"
CRB,"Caricom Airways","CARIBBEAN COMMUTER"
CRT,"Caribintair","CARIBINTAIR"
CVG,"Carill Aviation","CARILL"
KRP,"Carpatair","CARPATAIR"
CRR,"Carranza","CARRANZA"
ULS,"Carroll Air Service","ULSTER"
CMT,"Casement Aviation","CASEMENT"
CSO,"Casino Airline","CASAIR"
CSP,"Casper Air Service","CASPER AIR"
CPN,"Caspian Airlines","CASPIAN"
CSJ,"Castle Aviation","CASTLE"
CAZ,"Cat Aviation","EUROCAT"
CBT,"Catalina Flying Boats","CATALINA AIR"
TEX,"Catex","CATEX"
HDA,"Cathay Dragon","DRAGON"
CPA,"Cathay Pacific","CATHAY"
CJR,"Caverton Helicopters","CAVERTON AIR"
CAY,"Cayman Airways","CAYMAN"
CEB,"Cebu Pacific","CEBU"
CIL,"Cecil Aviation","CECIL"
CEG,"Cega Aviation","CEGA"
CEC,"Celtic Airways","CELTAIR"
CWE,"Celtic West","CELTIC"
CEV,"Centre d'Essais en Vol","CENTEV"
CNL,"Centennial Airlines","WYO-AIR"
CNS,"Cobalt Air LLC","CHRONOS"
CVO,"Center Vol","CENTERVOL"
CTS,"Center-South","CENTER-SOUTH"
CET,"Centrafrican Airlines","CENTRAFRICAIN"
CAX,"Central Air Express","CENTRAL EXPRESS"
CTL,"Central Airlines","CENTRAL COMMUTER"
CNY,"Central Airways","CENTRAL LEONE"
ACN,"Central American Airlines","AEROCENTRO"
YOG,"Central Aviation","YOGAN AIR"
DRN,"Central De Discos De Reynosa","DISCOS REYNOSA"
CMA,"CMA-CGM AIRCARGO","FRENCH CARGO"
CHA,"Central Flying Service","CHARTER CENTRAL"
CEM,"Central Mongolia Airways","CENTRAL MONGOLIA"
GLR,"Central Mountain Air","GLACIER"
CQC,"Central Queensland Aviation College",""
CSI,"Central Skyport","SKYPORT"
CLW,"Centralwings","CENTRALWINGS"
DTV,"Centre Airlines","DUTCH VALLEY"
CGS,"Centre of Applied Geodynamica","GEO CENTRE"
CVC,"Centre-Avia","AVIACENTRE"
CCV,"Centro De Helicopteros Corporativos","HELICORPORATIVO"
ACF,"Centro de Formación Aeronáutica de Canarias","FORCAN"
CWC,"Centurion Air Cargo","CHALLENGE CARGO"
URY,"Century Aviation","CENTURY AVIA"
HAI,"Century Aviation International",""
XAD,"Certified Air Dispatch",""
CER,"Cetraca Aviation Service","CETRACA"
IRU,"Chabahar Airlines","CHABAHAR"
CSW,"Chair Airlines","EIGER"
CLG,"Chalair Aviation","CHALLAIR"
CHK,"Chalk's International Airlines","CHALKS"
CLS,"Challenge Air Transport","AIRISTO"
CHS,"Challenge Aviation","CHALLENGE AVIATION"
OFF,"Challenge International Airlines","CHALLENGE AIR"
CHG,"Challenge Airlines BE","Challenge"
CPH,"Champagne Airlines","CHAMPAGNE"
CCP,"Champion Air","CHAMPION AIR"
NCH,"Chanchangi Airlines","CHANCHANGI"
CGN,"Chang An Airlines","CHANGAN"
CHN,"Channel Island Aviation","CHANNEL"
WML,"Chantilly Air","MARLIN"
CPL,"Chaparral Airlines","CHAPARRAL"
CSU,"Chari Aviation Services","CHARI SERVICE"
CAH,"Charlan Air Charter","CHARLAN"
HMD,"Charlie Hammonds Flying Service","HAMMOND"
CGD,"Charlotte Air National Guard",""
CHW,"Charter Air","CHARTER WIEN"
HRT,"Chartright Air","CHARTRIGHT"
CHQ,"Chautauqua Airlines","CHAUTAUQUA"
CBB,"Cheboksary Airenterprise JSC","CHEBAIR"
CHM,"Chemech Aviation",""
CHZ,"Cherline","CHERL"
CMK,"Chernomor-Avia","CHERAVIA"
CBM,"Cherokee Express","BLUE MAX"
CCY,"Cherry Air","CHERRY"
CAB,"Chesapeake Air Service","CHESAPEAKE AIR"
CVR,"Chevron U.S.A","CHEVRON"
CYA,"Cheyenne Airways","CHEYENNE AIR"
CGO,"Chicago Air","WILD ONION"
WDY,"Chicago Jet Group","WINDY CITY"
RAT,"Chief Rat Flight Services","RIVERRAT"
CCH,"Chilchota Taxi Aéreo","CHILCHOTA"
DES,"Chilcotin Caribou Aviation","CHILCOTIN"
CAD,"Chilliwack Aviation","CHILLIWACKAIR"
ETN,"Chim-Nir Aviation","CHIMNIR"
CAL,"China Airlines","DYNASTY"
CKK,"China Cargo Airlines","CARGO KING"
CES,"China Eastern Airlines","CHINA EASTERN"
HXA,"China Express Airlines","CHINA EXPRESS"
CFA,"China Flying Dragon Aviation","FEILONG"
CTH,"China General Aviation Corporation","TONGHANG"
CAG,"China National Aviation Corporation","CHINA NATIONAL"
CBF,"China Northern Airlines","CHINA NORTHERN"
CNW,"China Northwest Airlines","CHINA NORTHWEST"
CHC,"China Ocean Helicopter Corporation","CHINA HELICOPTER"
CYZ,"China Postal Airlines","CHINA POST"
CSN,"China Southern Airlines","CHINA SOUTHERN"
CXN,"China Southwest Airlines","CHINA SOUTHWEST"
CUA,"China United Airlines","LIANHANG"
CXH,"China Xinhua Airlines","XINHUA"
CYH,"China Yunnan Airlines","YUNNAN"
CGU,"Chinguetti Airlines","CHINGUETTI"
CEP,"Chipola Aviation","CHIPOLA"
CPW,"Chippewa Air Commuter","CHIPPEWA-AIR"
CHF,"Chitaavia","CHITA"
CQN,"Chongqing Airlines","CHONG QING"
CAS,"Christman Air System","CHRISTMAN"
CHO,"Chrome Air Services","CHROME AIR"
CHU,"Church Aircraft","CHURCHAIR"
CIU,"Cielos Airlines","CIELOS"
CIM,"Cimber Sterling","CIMBER"
CIN,"Cinnamon Air","CINNAMON"
RRU,"Cirrus","HELICIRRUS"
NTS,"Cirrus Air","NITE STAR"
RUS,"Cirrus Airlines","CIRRUS AIR"
JTI,"Cirrus Middle East",""
FIV,"CitationAir","FIVE STAR"
XCX,"Citibank",""
HZX,"Citic General Aviation","ZHONGXIN"
SDR,"City Airline","SWEDESTAR"
CIX,"City Connexion Airlines","CONNEXION"
XBG,"City of Bangor",""
BCY,"CityJet","CITY-IRELAND"
CAQ,"Cityair (Chester) Limited","AIR CHESTER"
CII,"Cityfly","CITYFLY"
CFE,"CityFlyer Express","FLYER"
CNB,"Cityline Hungary","CITYHUN"
HSR,"Citylink Airlines","HOOSIER"
CIW,"Civair Airways","CIVFLIGHT"
CAP,"Civil Air Patrol","CAP"
CAT,"Civil Air Transport","Mandarin"
CIA,"Civil Aviation Authority","CALIMERA"
CIV,"Civil Aviation Authority of New Zealand","CIVAIR"
CBA,"Civil Aviation Inspectorate of the Czech Republic","CALIBRA"
FMC,"Claessens International Limited","CLAESSENS"
CLK,"Clark Aviation","CLARKAIR"
CSF,"Clasair","CALEDONIAN"
CLY,"Clay Lacy Aviation","CLAY-LACY"
CGK,"Click Airways","CLICK AIR"
CLZ,"Cloud 9 Air Charters","CLOUDLINE"
CLD,"Clowes Estates Limited","CLOWES"
SDJ,"Club 328","SPACEJET"
ISG,"Club Air","CLUBAIR"
CST,"Coast Air","COAST CENTER"
TCL,"Coastal Air Transport","TRANS COASTAL"
CNG,"Coastal Airways","SID-AIR"
CSV,"Coastal Travels","COASTAL TRAVEL"
CHL,"Cohlmia Aviation","COHLMIA"
OLR,"Colaéreos","COLAEREOS"
CLE,"Colemill Enterprises","COLEMILL"
CJC,"Colgan Air","COLGAN"
CAE,"Colibri Aviation","HUMMINGBIRD"
CAT,"Cologne Air Transport GmbH",""
CCX,"Colt International",""
WCO,"Columbia Helicopters","COLUMBIA HELI"
KLR,"Columbus Air Transport","KAY-LER"
GHP,"Colvin Aviation","GRASSHOPPER EX"
COM,"Comair","COMAIR"
CAW,"Comair","COMMERCIAL"
GCM,"Comair Flight Services","GLOBECOM"
CDE,"Comed Group","COMEX"
CVV,"Comeravia","COMERAVIA"
CRS,"Comercial Aérea","COMERCIAL AEREA"
CMG,"Comet Airlines","SUNSPY"
FYN,"Comfort Air","FLYNN"
CMJ,"Comfort Jet Services","COMFORT JET"
CLA,"Comlux Aviation","COMLUX"
KAZ,"Comlux Kazakhstan","KAZLUX"
MLM,"Comlux Malta","LUXMALTA"
CXB,"Comlux Aruba","STARLUX"
CMH,"Commair Aviation","COMMODORE"
CTM,"Commandement Du Transport Aerien Militaire Francais","COTAM"
CML,"Commander Air Charter","COMMANDAIR"
CRM,"Commander Mexicana","COMMANDERMEX"
CME,"Commerce Bank","COMMERCE BANK"
